Início da produção: 2026-01-12 12-29-52
Tamanho: 269ml_FIT | Feed: 5.1312
==================================================
2026-01-12 17-27-51: Main: 8490, Feed: 5.1312
2026-01-12 17-27-52: Main: 8520, Feed: 5.1312
2026-01-12 17-27-53: Main: 8550, Feed: 5.1312
2026-01-12 17-27-54: Main: 8580, Feed: 5.1312
2026-01-12 17-27-56: Main: 8610, Feed: 5.1312
2026-01-12 17-27-57: Main: 8640, Feed: 5.1312
2026-01-12 17-27-58: Main: 8670, Feed: 5.1312
2026-01-12 17-27-59: Main: 8700, Feed: 5.1312
2026-01-12 17-28-00: Main: 8715, Feed: 5.1312
2026-01-12 17-28-01: Main: 8745, Feed: 5.1312
2026-01-12 17-28-02: Main: 8775, Feed: 5.1312
2026-01-12 17-28-03: Main: 8805, Feed: 5.1312
2026-01-12 17-28-04: Main: 8835, Feed: 5.1312
2026-01-12 17-28-05: Main: 8865, Feed: 5.1312
2026-01-12 17-28-06: Main: 8895, Feed: 5.1312
2026-01-12 17-28-07: Main: 8925, Feed: 5.1312
2026-01-12 17-28-08: Main: 8955, Feed: 5.1312
2026-01-12 17-28-09: Main: 8985, Feed: 5.1312
2026-01-12 17-28-10: Main: 9015, Feed: 5.1312
2026-01-12 17-28-11: Main: 9045, Feed: 5.1312
2026-01-12 17-28-12: Main: 9060, Feed: 5.1312
2026-01-12 17-28-13: Main: 9090, Feed: 5.1312
2026-01-12 17-28-14: Main: 9120, Feed: 5.1312
2026-01-12 17-28-16: Main: 9150, Feed: 5.1312
2026-01-12 17-28-17: Main: 9180, Feed: 5.1312
2026-01-12 17-28-18: Main: 9210, Feed: 5.1312
2026-01-12 17-28-19: Main: 9240, Feed: 5.1312
2026-01-12 17-28-20: Main: 9270, Feed: 5.1312
2026-01-12 17-28-21: Main: 9300, Feed: 5.1312
2026-01-12 17-28-22: Main: 9330, Feed: 5.1312
2026-01-12 17-28-23: Main: 9345, Feed: 5.1312
2026-01-12 17-28-24: Main: 9375, Feed: 5.1312
2026-01-12 17-28-25: Main: 9405, Feed: 5.1312
2026-01-12 17-28-26: Main: 9435, Feed: 5.1312
2026-01-12 17-28-27: Main: 9465, Feed: 5.1312
2026-01-12 17-28-28: Main: 9495, Feed: 5.1312
2026-01-12 17-28-29: Main: 9525, Feed: 5.1312
2026-01-12 17-28-30: Main: 9555, Feed: 5.1312
2026-01-12 17-28-31: Main: 9585, Feed: 5.1312
2026-01-12 17-28-32: Main: 9615, Feed: 5.1312
2026-01-12 17-28-33: Main: 9645, Feed: 5.1312
2026-01-12 17-28-34: Main: 9675, Feed: 5.1312
2026-01-12 17-28-35: Main: 9690, Feed: 5.1312
2026-01-12 17-28-36: Main: 9720, Feed: 5.1312
2026-01-12 17-28-38: Main: 9750, Feed: 5.1312
2026-01-12 17-28-39: Main: 9780, Feed: 5.1312
2026-01-12 17-28-40: Main: 9810, Feed: 5.1312
2026-01-12 17-28-41: Main: 9840, Feed: 5.1312
